NN,N1,N2,N3,N4,N5,N6
5022,3,12,13,24,26,33
5023,3,4,12,22,42,45
5024,3,9,16,18,30,33
5025,4,7,22,34,37,45
5026,8,21,35,36,42,43
5027,4,10,12,14,35,39
5028,8,16,20,27,29,43
5029,8,30,31,32,33,44
5030,19,25,26,29,31,33
5031,16,23,26,27,30,40
5032,1,7,11,27,28,30
5033,7,20,22,37,40,45
5034,10,14,31,37,41,43
5035,1,10,13,18,28,38
5036,6,15,27,34,42,43
5037,11,12,30,38,41,44
5038,1,4,12,23,30,43
5039,5,10,14,38,42,44
5040,5,6,12,13,18,38
5041,8,14,26,29,38,39
5042,9,10,11,21,34,42
5043,8,10,15,20,25,30
5044,4,6,16,25,41,42
5045,9,25,27,28,33,42
5046,2,5,19,31,41,44
5047,1,9,12,14,15,39
5048,2,9,10,21,28,32
5049,4,9,16,17,22,32
5050,8,9,25,28,34,40
5051,7,12,16,20,21,30
5052,7,9,28,34,36,40
5053,9,18,23,37,38,39
5054,5,8,12,20,27,40
5055,5,17,25,33,40,45
5056,10,15,19,21,29,33
5057,2,3,6,19,28,34
5058,2,4,19,20,24,26
5059,14,20,22,29,30,44
5060,4,5,9,33,43,45
5061,8,14,21,23,28,34
5062,3,7,10,25,35,42
5063,7,13,17,19,27,44
5064,5,11,14,18,42,43
5065,13,17,24,25,29,31
5066,7,16,21,31,33,42
5067,9,12,15,18,29,36
5068,16,18,37,40,41,43
5069,7,12,19,23,40,45
5070,8,13,25,37,44,45
5071,1,8,14,33,36,38
5072,10,12,21,26,34,42
5073,1,12,14,16,20,23
5074,1,16,19,29,39,41
5075,2,5,23,34,39,41
5076,6,9,19,24,34,44
5077,19,25,32,36,40,44
5078,7,23,31,35,43,44
5079,3,11,13,15,22,40
5080,2,16,24,28,36,40
5081,11,20,25,26,29,43
5082,3,28,29,30,39,44
5083,15,17,21,22,28,31
5084,3,7,15,23,31,37
5085,7,9,10,25,33,34
5086,4,23,24,28,29,40
5087,8,14,19,33,41,44
5088,3,4,7,8,28,39
5089,2,12,24,25,33,45
5090,6,10,20,24,32,45
5091,5,19,22,25,42,43
5092,1,12,25,30,40,41
5093,24,25,26,34,35,39
5094,7,9,16,34,41,45
5095,4,8,17,18,31,45
5096,10,11,18,22,27,31
5097,3,29,31,33,36,44
5098,10,18,25,27,28,41
5099,7,14,16,24,29,35
5100,16,20,23,29,41,42
5101,2,20,21,24,25,29
5102,10,19,32,34,35,45
5103,14,15,25,30,32,39
5104,8,13,14,17,18,20
5105,9,14,16,25,35,44
5106,3,4,8,20,22,34
5107,1,2,29,30,41,42
5108,1,7,27,36,39,45
5109,3,6,8,32,35,40
5110,7,25,31,36,37,39
5111,4,6,21,27,30,38
5112,5,11,14,16,20,32
5113,16,19,30,39,41,44
5114,5,23,26,27,34,43
5115,18,29,34,40,44,45
5116,2,4,20,25,37,44
5117,4,6,19,22,39,44
5118,11,17,20,38,41,45
5119,11,18,19,20,26,33
5120,7,10,13,15,21,43
5121,9,15,18,31,37,43
